app,language,loc,gt_total,findings_total,dedup_removed,tp,fp,fn,precision,recall,f1,fp_per_kloc
webgoat,java,71331,10,37,0,10,27,0,0.2703,1.0,0.4255,0.38
nodegoat,javascript,3291,6,7,0,2,5,4,0.2857,0.3333,0.3077,1.52
dvwa,php,11291,5,42,0,2,40,3,0.0476,0.4,0.0851,3.54
flask-app,python,69,7,9,0,7,2,0,0.7778,1.0,0.875,28.99
real-app-nodejs,javascript,175,6,9,0,5,4,1,0.5556,0.8333,0.6667,22.86
real-app-python,python,153,6,7,1,4,3,2,0.5714,0.6667,0.6154,19.61
real-app-php,php,151,5,5,0,1,4,4,0.2,0.2,0.2,26.49
juice-shop,typescript,70848,15,41,0,2,39,13,0.0488,0.1333,0.0714,0.55
railsgoat,ruby,8931,10,29,0,0,29,10,0.0,0.0,0.0,3.25
vulnpy,python,93,8,16,0,6,10,2,0.375,0.75,0.5,107.53
xvwa,php,23234,8,13,0,3,10,5,0.2308,0.375,0.2857,0.43
vulnerable-node,javascript,3297,6,20,1,2,18,4,0.1,0.3333,0.1538,5.46
pixi,javascript,6566,6,5,0,0,5,6,0.0,0.0,0.0,0.76
