app,language,loc,gt_total,findings_total,dedup_removed,tp,fp,fn,precision,recall,f1,fp_per_kloc
webgoat,java,71331,10,38,0,10,28,0,0.2632,1.0,0.4167,0.39
nodegoat,javascript,3291,6,7,0,2,5,4,0.2857,0.3333,0.3077,1.52
dvwa,php,11291,5,27,0,3,24,2,0.1111,0.6,0.1875,2.13
flask-app,python,69,7,9,0,7,2,0,0.7778,1.0,0.875,28.99
real-app-nodejs,javascript,175,6,9,0,5,4,1,0.5556,0.8333,0.6667,22.86
real-app-python,python,153,6,7,1,4,3,2,0.5714,0.6667,0.6154,19.61
real-app-php,php,151,5,5,0,2,3,3,0.4,0.4,0.4,19.87
juice-shop,typescript,70848,15,63,0,5,58,10,0.0794,0.3333,0.1282,0.82
railsgoat,ruby,8931,10,31,0,5,26,5,0.1613,0.5,0.2439,2.91
vulnpy,python,93,8,16,0,6,10,2,0.375,0.75,0.5,107.53
xvwa,php,23234,8,13,0,4,9,4,0.3077,0.5,0.381,0.39
vulnerable-node,javascript,3297,6,20,1,2,18,4,0.1,0.3333,0.1538,5.46
pixi,javascript,6566,6,20,0,4,16,2,0.2,0.6667,0.3077,2.44
